size,sort_type,input_type,micro_time,comparisons
34,insertion,ascending,0,33
34,merge,ascending,0,91
34,hybrid,ascending,0,33
34,insertion,descending,0,594
34,merge,descending,20.06,83
34,hybrid,descending,0,594
34,insertion,random,0,311.62
34,merge,random,0,132.38
34,hybrid,random,0,317.28
35,insertion,ascending,0,34
35,merge,ascending,0,96
35,hybrid,ascending,0,34
35,insertion,descending,0,629
35,merge,descending,0,85
35,hybrid,descending,19.94,629
35,insertion,random,0,332.6
35,merge,random,0,137.94
35,hybrid,random,0,330.14
36,insertion,ascending,0,35
36,merge,ascending,0,100
36,hybrid,ascending,0,35
36,insertion,descending,0,665
36,merge,descending,0,88
36,hybrid,descending,0,665
36,insertion,random,0,340.88
36,merge,random,0,142.6
36,hybrid,random,19.32,342.6
37,insertion,ascending,0,36
37,merge,ascending,20.92,105
37,hybrid,ascending,0,36
37,insertion,descending,0,702
37,merge,descending,0,90
37,hybrid,descending,0,702
37,insertion,random,0,383.22
37,merge,random,0,148.3
37,hybrid,random,0,372.18
38,insertion,ascending,0,37
38,merge,ascending,0,109
38,hybrid,ascending,0,37
38,insertion,descending,0,740
38,merge,descending,0,93
38,hybrid,descending,0,740
38,insertion,random,19.64,389.84
38,merge,random,0,153.9
38,hybrid,random,0,391.24
39,insertion,ascending,0,38
39,merge,ascending,19.92,113
39,hybrid,ascending,0,38
39,insertion,descending,0,779
39,merge,descending,19.76,96
39,hybrid,descending,0,779
39,insertion,random,0,400.72
39,merge,random,0,159.1
39,hybrid,random,0,409.94
40,insertion,ascending,0,39
40,merge,ascending,0,116
40,hybrid,ascending,0,39
40,insertion,descending,0,819
40,merge,descending,0,100
40,hybrid,descending,0,819
40,insertion,random,0,426.96
40,merge,random,0,165.4
40,hybrid,random,0,437.88
41,insertion,ascending,0,40
41,merge,ascending,0,121
41,hybrid,ascending,0,40
41,insertion,descending,0,860
41,merge,descending,0,102
41,hybrid,descending,0,860
41,insertion,random,20,449.74
41,merge,random,0,170
41,hybrid,random,0,465.96
42,insertion,ascending,0,41
42,merge,ascending,0,125
42,hybrid,ascending,0,41
42,insertion,descending,0,902
42,merge,descending,0,105
42,hybrid,descending,0,902
42,insertion,random,0,467.76
42,merge,random,0,176.48
42,hybrid,random,0,465.76
43,insertion,ascending,0,42
